filename,output,inference_time_sec
regenerated_new/1/H/case-100114_JAY_ANNOTATION.png,"[1,10]",1.83
regenerated_new/3/H/case-100114_JAY_ANNOTATION.png,"[3,4]",0.85
regenerated_new/7/H/case-100114_JAY_ANNOTATION.png,"[7,8]",0.9
regenerated_new/11/H/case-100114_JAY_ANNOTATION.png,"[10,11]",1.15
regenerated_new/12/H/case-100114_JAY_ANNOTATION.png,"[11,12]",1.08
regenerated_new/1/H/case-100129_JAY_ANNOTATION.png,"[1,11]",0.96
regenerated_new/2/H/case-100129_JAY_ANNOTATION.png,"[2,4]",0.83
regenerated_new/3/H/case-100129_JAY_ANNOTATION.png,"[2,3]",0.83
regenerated_new/10/H/case-100129_JAY_ANNOTATION.png,"[10,11]",1.07
regenerated_new/11/H/case-100129_JAY_ANNOTATION.png,"[10,11]",1.07
regenerated_new/12/H/case-100129_JAY_ANNOTATION.png,"[11,12]",1.07
regenerated_new/13/H/case-100129_JAY_ANNOTATION.png,"[12,13]",1.07
regenerated_new/1/H/case-100164_JAY_ANNOTATION.png,"[1,11]",0.95
regenerated_new/2/H/case-100164_JAY_ANNOTATION.png,"[2,3]",0.83
regenerated_new/12/H/case-100164_JAY_ANNOTATION.png,"[12,13]",1.07
regenerated_new/1/H/case-100229_JAY_ANNOTATION.png,"[1,1]",0.83
regenerated_new/2/H/case-100229_JAY_ANNOTATION.png,"[2,4]",0.83
regenerated_new/10/H/case-100229_JAY_ANNOTATION.png,"[11,10]",1.07
regenerated_new/11/H/case-100229_JAY_ANNOTATION.png,"[11,10]",1.07
regenerated_new/12/H/case-100229_JAY_ANNOTATION.png,"[11,12]",1.07
regenerated_new/1/H/case-100245_JAY_ANNOTATION.png,"[1,11]",0.95
regenerated_new/10/H/case-100245_JAY_ANNOTATION.png,"[11,10]",1.07
regenerated_new/12/H/case-100245_JAY_ANNOTATION.png,"[12,13]",1.07
regenerated_new/13/H/case-100245_JAY_ANNOTATION.png,"[12,13]",1.07
regenerated_new/14/H/case-100245_JAY_ANNOTATION.png,"[13,14]",1.07
regenerated_new/1/H/case-100247_JAY_ANNOTATION.png,"[1,10]",0.95
regenerated_new/4/H/case-100247_JAY_ANNOTATION.png,"[3,4]",0.83
regenerated_new/11/H/case-100247_JAY_ANNOTATION.png,"[11,10]",1.07
regenerated_new/12/H/case-100247_JAY_ANNOTATION.png,"[11,12]",1.07
regenerated_new/1/H/case-100254_JAY_ANNOTATION.png,"[1,1]",0.83
regenerated_new/11/H/case-100254_JAY_ANNOTATION.png,"[11,12]",1.07
regenerated_new/12/H/case-100254_JAY_ANNOTATION.png,"[12,13]",1.07
regenerated_new/13/H/case-100254_JAY_ANNOTATION.png,"[12,13]",1.07
regenerated_new/1/H/case-100265_JAY_ANNOTATION.png,"[1,1]",0.83
regenerated_new/2/H/case-100265_JAY_ANNOTATION.png,"[2,3]",0.83
regenerated_new/3/H/case-100265_JAY_ANNOTATION.png,"[2,3]",0.83
regenerated_new/7/H/case-100265_JAY_ANNOTATION.png,"[6,7]",0.83
regenerated_new/10/H/case-100265_JAY_ANNOTATION.png,"[11,10]",1.06
regenerated_new/11/H/case-100265_JAY_ANNOTATION.png,"[10,11]",1.07
regenerated_new/14/H/case-100265_JAY_ANNOTATION.png,"[11,14]",1.06
