filename,output,inference_time_sec
regenerated_new/1/H/case-100114_JAY_ANNOTATION.png,"[1, 10]",1.34
regenerated_new/2/H/case-100114_JAY_ANNOTATION.png,"[2,4]",0.63
regenerated_new/4/H/case-100114_JAY_ANNOTATION.png,"[4,12]",0.71
regenerated_new/5/H/case-100114_JAY_ANNOTATION.png,"[5,3]",0.62
regenerated_new/6/H/case-100114_JAY_ANNOTATION.png,"[2,6]",0.62
regenerated_new/10/H/case-100114_JAY_ANNOTATION.png,"[10,11]",0.8
regenerated_new/11/H/case-100114_JAY_ANNOTATION.png,"[11,10]",0.8
regenerated_new/12/H/case-100114_JAY_ANNOTATION.png,"[4,12]",0.71
regenerated_new/13/H/case-100114_JAY_ANNOTATION.png,"[4,13]",0.71
regenerated_new/1/H/case-100129_JAY_ANNOTATION.png,"[1, 1]",0.71
regenerated_new/2/H/case-100129_JAY_ANNOTATION.png,"[2,11]",0.71
regenerated_new/4/H/case-100129_JAY_ANNOTATION.png,"[2,4]",0.62
regenerated_new/5/H/case-100129_JAY_ANNOTATION.png,"[3,5]",0.62
regenerated_new/6/H/case-100129_JAY_ANNOTATION.png,"[6,13]",0.71
regenerated_new/10/H/case-100129_JAY_ANNOTATION.png,"[10,11]",0.8
regenerated_new/11/H/case-100129_JAY_ANNOTATION.png,"[11,10]",0.8
regenerated_new/12/H/case-100129_JAY_ANNOTATION.png,"[12, 4]",0.79
regenerated_new/13/H/case-100129_JAY_ANNOTATION.png,"[13, 5]",0.79
regenerated_new/1/H/case-100164_JAY_ANNOTATION.png,"[1,2]",0.62
regenerated_new/2/H/case-100164_JAY_ANNOTATION.png,"[2,11]",0.71
regenerated_new/4/H/case-100164_JAY_ANNOTATION.png,"[4,12]",0.71
regenerated_new/5/H/case-100164_JAY_ANNOTATION.png,"[5,13]",0.71
regenerated_new/7/H/case-100164_JAY_ANNOTATION.png,"[13, 7]",0.8
regenerated_new/10/H/case-100164_JAY_ANNOTATION.png,"[10,11]",0.79
regenerated_new/11/H/case-100164_JAY_ANNOTATION.png,"[11,10]",0.8
regenerated_new/12/H/case-100164_JAY_ANNOTATION.png,"[12, 14]",0.88
regenerated_new/13/H/case-100164_JAY_ANNOTATION.png,"[13, 5]",0.79
regenerated_new/14/H/case-100164_JAY_ANNOTATION.png,"[14, 9]",0.8
regenerated_new/1/H/case-100229_JAY_ANNOTATION.png,"[1, 10]",0.79
regenerated_new/2/H/case-100229_JAY_ANNOTATION.png,"[2,11]",0.71
regenerated_new/4/H/case-100229_JAY_ANNOTATION.png,"[4,12]",0.71
regenerated_new/5/H/case-100229_JAY_ANNOTATION.png,"[13, 5]",0.79
regenerated_new/6/H/case-100229_JAY_ANNOTATION.png,"[6,14]",0.71
regenerated_new/10/H/case-100229_JAY_ANNOTATION.png,"[10,11]",0.79
regenerated_new/11/H/case-100229_JAY_ANNOTATION.png,"[11,10]",0.8
regenerated_new/12/H/case-100229_JAY_ANNOTATION.png,"[4,12]",0.71
regenerated_new/13/H/case-100229_JAY_ANNOTATION.png,"[13, 5]",0.8
regenerated_new/14/H/case-100229_JAY_ANNOTATION.png,"[14, 11]",0.88
regenerated_new/1/H/case-100245_JAY_ANNOTATION.png,"[1, 10]",0.8
regenerated_new/2/H/case-100245_JAY_ANNOTATION.png,"[2,11]",0.71
regenerated_new/4/H/case-100245_JAY_ANNOTATION.png,"[4, 8]",0.71
regenerated_new/5/H/case-100245_JAY_ANNOTATION.png,"[5,13]",0.71
regenerated_new/10/H/case-100245_JAY_ANNOTATION.png,"[10,11]",0.8
regenerated_new/11/H/case-100245_JAY_ANNOTATION.png,"[11,10]",0.8
regenerated_new/12/H/case-100245_JAY_ANNOTATION.png,"[12, 11]",0.89
regenerated_new/13/H/case-100245_JAY_ANNOTATION.png,"[13, 5]",0.79
regenerated_new/14/H/case-100245_JAY_ANNOTATION.png,"[14, 10]",0.88
